id,Internal Reference,Supplier / Supplier,Name,Brand,Model,description,Category,Unit of Measure,Can be Sold,Can be Purchased,Product Type,Procurement Method,Supply Method,Supplier / Supplier Pricelist / Unit Price,Supplier / Supplier Pricelist / Quantity,Supplier / Delivery Lead Time,seller_ids/min_qty
Product_00888,05V2052,M&C TechGroup Germany GmbH,"GE PVDF DN  8/10 - NPT 1/8""",M&C,,"Male connector DN8/10-NPT1/8"", material: PVDF.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,17.8,1,30,1
Product_00889,05V2055,M&C TechGroup Germany GmbH,"GE PVDF DN 10/12 - NPT 1/8""",M&C,,"Male connector DN10/12-NPT1/8"", material: PVDF.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,21.8,1,30,1
Product_00890,05V2060,M&C TechGroup Germany GmbH,"GE PVDF DN   4/6 - NPT 1/4""",M&C,,"Male connector DN4/6-NPT1/4"", material: PVDF.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,9.56,1,30,1
Product_00891,05V2065,M&C TechGroup Germany GmbH,"GE PVDF DN   6/8 - NPT 1/4""",M&C,,"Male connector DN6/8-NPT1/4"", material: PVDF.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,11.7,1,30,1
Product_00892,05V2066,M&C TechGroup Germany GmbH,"GE PVDF DN  8/10 - NPT 1/4""",M&C,,"Male connector DN8/10-NPT1/4"", material: PVDF.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,15.3,1,30,1
Product_00893,05V2069,M&C TechGroup Germany GmbH,"GE PVDF DN  8/10 - NPT 3/8""",M&C,,"Male connector DN8/10-NPT3/8"", material: PVDF.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,18.8,1,30,1
Product_00894,05V2070,M&C TechGroup Germany GmbH,"GE PVDF DN 10/12 - NPT 1/4""",M&C,,"Male connector DN10/12-NPT1/4"", material: PVDF.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,22.6,1,30,1
Product_00895,05V2075,M&C TechGroup Germany GmbH,"GE PVDF DN   4/6 - NPT 3/8""",M&C,,"Male connector DN4/6-NPT3/8"", material: PVDF.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,14.2,1,30,1
Product_00896,05V2080,M&C TechGroup Germany GmbH,"GE PVDF DN   6/8 - NPT 3/8""",M&C,,"Male connector DN6/8-NPT3/8"", material: PVDF.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,17.6,1,30,1
Product_00897,05V2085,M&C TechGroup Germany GmbH,"GE PVDF DN 10/12 - NPT 3/8""",M&C,,"Male connector DN10/12-NPT3/8"", material: PVDF.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,24.5,1,30,1
